iter	Passed	Remaining
0	0	923
1	1	844
2	2	835
3	3	821
4	4	813
5	4	805
6	5	801
7	6	791
8	7	785
9	7	781
10	8	784
11	9	787
12	10	787
13	11	784
14	11	779
15	12	772
16	13	770
17	14	771
18	14	767
19	15	765
20	16	759
21	16	754
22	17	748
23	18	741
24	18	737
25	19	732
26	20	728
27	20	725
28	21	721
29	22	718
30	22	715
31	23	712
32	24	710
33	24	707
34	25	705
35	26	704
36	26	702
37	27	700
38	28	699
39	29	698
40	29	697
41	30	696
42	31	694
43	31	692
44	32	691
45	33	689
46	33	687
47	34	686
48	35	685
49	36	685
50	36	684
51	37	684
52	38	683
53	38	681
54	39	680
55	40	679
56	40	678
57	41	676
58	42	675
59	43	674
60	43	673
61	44	672
62	45	671
63	45	670
64	46	669
65	47	667
66	47	667
67	48	666
68	49	665
69	50	664
70	50	663
71	51	662
72	52	662
73	52	661
74	53	660
75	54	658
76	54	657
77	55	655
78	56	654
79	56	653
80	57	653
81	58	653
82	58	648
83	59	647
84	60	646
85	60	645
86	61	645
87	62	644
88	62	643
89	63	642
90	64	641
91	64	640
92	65	639
93	66	638
94	66	638
95	67	637
96	68	636
97	69	635
98	69	634
99	70	634
100	71	633
101	71	633
102	72	633
103	73	633
104	74	634
105	75	635
106	76	635
107	76	634
108	77	633
109	78	632
110	78	631
111	79	630
112	80	628
113	80	627
114	81	626
115	81	624
116	82	622
117	83	620
118	83	619
119	84	618
120	85	617
121	85	615
122	86	614
123	86	613
124	87	612
125	88	611
126	88	610
127	89	609
128	90	608
129	90	607
130	91	605
131	91	604
132	92	603
133	93	602
134	93	600
135	94	599
136	94	598
137	95	597
138	96	595
139	96	594
140	97	593
141	97	591
142	98	590
143	99	588
144	99	587
145	100	586
146	100	585
147	101	584
148	102	583
149	102	582
150	103	581
151	104	580
152	104	579
153	105	578
154	105	577
155	106	576
156	107	578
157	108	578
158	109	578
159	110	577
160	110	575
161	111	574
162	111	574
163	112	573
164	113	573
165	114	573
166	114	572
